label,location_id,feature_set_name,match_status,matched_codes,matched_descriptions
B-1SCD,204,zoning,not_found,,
BP(CD)(ANDO),204,zoning,not_found,,
CAC-1(CD),204,zoning,resolved,CAC-1,Community Activity Center 1
B-2(CD)(HDO),204,zoning,resolved,HDO,Historic District Overlay
BP(CD),204,zoning,not_found,,
B-1(CD)(ANDO),204,zoning,not_found,,
B-D(CD)(ANDO),204,zoning,not_found,,
CAC-2(HDO),204,zoning,resolved,CAC-2|HDO,Community Activity Center 2|Historic District Overlay
B-D(CD),204,zoning,not_found,,
B-1(CD),204,zoning,not_found,,
B-1(CD)(HDO),204,zoning,resolved,HDO,Historic District Overlay
B-2(CD),204,zoning,not_found,,
CG(ANDO),204,zoning,resolved,CG,Commercial General
CR(CD),204,zoning,resolved,CR,Commercial Regional
CG(HDO),204,zoning,resolved,CG|HDO,Commercial General|Historic District Overlay
CG(CD)ANDO,204,zoning,resolved,CG,Commercial General
I-1(TS-O),204,zoning,not_found,,
CG(CD),204,zoning,resolved,CG,Commercial General
I-2(CD)(TS),204,zoning,not_found,,
CC(ANDO),204,zoning,resolved,CCO,Cottage Court Overlay
I-2(CD)(ANDO),204,zoning,not_found,,
CC,204,zoning,not_found,,
I-1(CD)(ANDO),204,zoning,not_found,,
I-2(CD),204,zoning,resolved,IC-2,Institutional Campus 2
I-1(CD),204,zoning,resolved,IC-1,Institutional Campus 1
CC(CD),204,zoning,not_found,,
IC-1(ANDO),204,zoning,resolved,IC-1,Institutional Campus 1
ML-2(ANDO),204,zoning,resolved,ML-2,Manufacturing and Logistics 2
ML-1(ANDO),204,zoning,resolved,ML-1,Manufacturing and Logistics 1
ML-2(CD)ANDO,204,zoning,resolved,ML-2,Manufacturing and Logistics 2
ML-1(CD)ANDO,204,zoning,resolved,ML-1,Manufacturing and Logistics 1
IMU(CD),204,zoning,resolved,IMU,Innovation Mixed-Use
IC-2(CD),204,zoning,resolved,IC-2,Institutional Campus 2
ML-2(CD),204,zoning,resolved,ML-2,Manufacturing and Logistics 2
MUDD(O),204,zoning,not_found,,
MUDD-O(ANDO),204,zoning,not_found,,
ML-1(CD),204,zoning,resolved,ML-1,Manufacturing and Logistics 1
MUDD-O,204,zoning,not_found,,
INST(CD)(ANDO),204,zoning,resolved,IC-1|IC-2,Institutional Campus 1|Institutional Campus 2
INST(CD),204,zoning,resolved,IC-1|IC-2,Institutional Campus 1|Institutional Campus 2
MUDD(CD)(HDO),204,zoning,resolved,HDO,Historic District Overlay
MUDD(CD),204,zoning,not_found,,
N1-A(ANDO),204,zoning,resolved,N1-A,Neighborhood 1-A
N1-A(CCO),204,zoning,resolved,N1-A|CCO,Neighborhood 1-A|Cottage Court Overlay
N1-B(HDO),204,zoning,resolved,N1-B|HDO,Neighborhood 1-B|Historic District Overlay
MX-3,204,zoning,not_found,,
MX-2 INNOV,204,zoning,resolved,IMU,Innovation Mixed-Use
N1-A(HDO),204,zoning,resolved,N1-A|HDO,Neighborhood 1-A|Historic District Overlay
MX-1,204,zoning,not_found,,
N1-A(CD),204,zoning,resolved,N1-A,Neighborhood 1-A
MX-3(INNOV),204,zoning,resolved,IMU,Innovation Mixed-Use
MUDD-O(CD),204,zoning,not_found,,
MX-2(INNOV),204,zoning,resolved,IMU,Innovation Mixed-Use
MX-2,204,zoning,not_found,,
MX-1(INNOV),204,zoning,resolved,IMU,Innovation Mixed-Use
MUDD-O(HDO),204,zoning,resolved,HDO,Historic District Overlay
MX-2(ANDO),204,zoning,not_found,,
N2-B(ANDO),204,zoning,resolved,N2-B,Neighborhood 2-B
N1-D(CD),204,zoning,resolved,N1-D,Neighborhood 1-D
